"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XM_030996958.1",5.89120995560323,-0.31471825670052,0.778223719334419,0.332503805802773,0.953803838647463,NA
"XM_030996960.1",243.377924298371,0.0702613358214804,0.209096273246235,0.968911239884704,0.808773911271427,0.981341530996394
"XM_030996961.1",1.85551692476128,2.43337471220322,2.53268870430068,1.56672482722183,0.6669580520299,NA
"XM_030996962.1",28.0854585363785,0.8399607480577,0.498265397672707,6.32510958452846,0.096820886172343,0.476982212156073
"XM_030996975.1",1.83610954365579,4.31550110831449,2.38892666941734,4.37362328852099,0.22384361830904,NA
"XM_030996984.1",1.01669287181096,4.43790867508768,4.73540463248699,1.05030383265577,0.789082405690218,NA
"XM_030996985.1",4.14007547736124,1.08559449736508,1.14542088199739,2.82216371806805,0.419864358705543,NA
"XM_030996987.1",22.9374687443831,-0.789081332146769,1.78447174545116,0.948952370961976,0.813601236300301,0.982915375932991
"XM_030996988.1",3.91831494716493,2.03592540611473,2.85213505292895,1.21665125219642,0.749013486504673,NA
"XM_030996989.1",1.06690104756901,-3.11142219341477,4.81203627282725,1.2216241130596,0.74782276493584,NA
"XM_030996990.1",3.13844141476158,3.11739669561548,2.20126924071255,1.53151969248403,0.675014940107252,NA
"XM_030996991.1",0.61676524031863,0.314296929025042,4.91088468563595,0.0886321735378868,0.993165803713444,NA
"XM_030996995.1",41.1407059172385,0.60848414905642,0.391653783645447,3.73433274000017,0.291617285295057,0.747117887820955
"XM_030996996.1",36.2624553249781,0.80068539548234,0.413658781559103,8.19043777231322,0.042235600972954,0.30881441787345
"XM_030996999.1",1.62172257482238,0.861166831597875,3.25856513286752,0.286211966107963,0.962600430615718,NA
"XM_030997000.1",488.794011296845,0.308657185406481,0.200050954125734,3.79191130384748,0.284828384728611,0.744037404678089
"XM_030997002.1",709.974191177579,0.258099478207245,0.356227988817167,1.71178958314343,0.634315890154926,0.936477229522656
"XM_030997003.1",0.530122277400622,-1.47324940993808,4.87492509842474,0.248130679779099,0.969469003187834,NA
"XM_030997005.1",0.9904608300692,1.13449964559365,4.79910924755119,0.966195974761003,0.809430749101768,NA
"XM_030997007.1",91.7211909428549,0.142218862770392,0.368438775667909,9.42162608635579,0.0241799114969675,0.233574558123417
"XM_030997010.1",1.27929003632769,0.681613540014575,4.81375712455842,0.354665762232514,0.949439714502715,NA
"XM_030997011.1",1.06025642931428,0.11276798840662,2.76919477216157,1.22064957620072,0.74805606991136,NA
"XM_030997023.1",27.7233435460016,0.129716097317342,0.481596195851527,0.848501829033836,0.837834260802157,0.987072954486185
"XM_030997025.1",10.51754694206,2.57418700251498,4.80281219635692,0.394898378191563,0.941294342678283,NA
"XM_030997026.1",26.179855965296,-0.248441839523691,0.975661668735945,2.42030516244334,0.489866016011693,0.877518054139757
"XM_030997027.1",0.826128274146751,2.82485194125425,4.6328068619486,0.79831077663875,0.849871030571669,NA
"XM_030997035.1",11.841241771731,3.16183115151698,4.8026231036993,0.465871656935725,0.926322674891025,NA
"XM_030997039.1",101.422935703892,-0.575104612042019,0.3689110885558,3.76961393152008,0.287440378805064,0.74428015000955
"XM_030997041.1",1.3842383057539,0.379178202669944,3.93057044666236,0.073225445968049,0.99484425529729,NA
"XM_030997043.1",1.38297248986741,2.82917828137676,4.03093245077578,0.999677875317246,0.801329901643398,NA
"XM_030997046.1",1.67279793229061,-0.939148449743676,1.8455641870762,0.783299419418661,0.853457279419726,NA
"XM_030997049.1",247.892547768118,0.188184920947357,0.27551075571205,0.476992858461728,0.923916113868681,0.995879152736638
"XM_030997055.1",2.47970512099493,1.18746432201412,2.03125443915941,5.44415104092815,0.142017425823308,NA
"XM_030997056.1",7.3293269842448,-0.152251410212122,0.685942614082232,7.39259433775813,0.0603833434472559,NA
"XM_030997057.1",26.7024496793425,1.24204471372337,1.41493142726255,1.56746969570362,0.666788131133167,0.943425582965819
"XM_030997058.1",47.4091377082524,-0.386121278425403,0.336771620303054,4.30168818981662,0.230676121538951,0.700364229718459
"XM_030997061.1",0.730653848968528,-0.800963637839099,4.78505588950284,0.382162336630607,0.94390218189563,NA
"XM_030997066.1",3.10861595627371,0.218195233073275,1.43395256337285,1.84923449294192,0.604280008900317,NA
"XM_030997067.1",2.00371165509954,2.39994957609227,4.83205793389398,0.468651374262201,0.925722571773506,NA
"XM_030997068.1",1.6205236324016,-0.365027839036986,2.65133594145967,1.64550315390068,0.649116854386298,NA
"XM_030997071.1",1.3199143011706,-2.34386660543518,4.78336857312917,1.42060980589851,0.700710869070675,NA
"XM_030997076.1",16.1296164331796,-0.864790588516005,0.650424138553902,2.28492539072157,0.515414951812808,0.891231838193943
"XM_030997079.1",11.6122860392597,-7.04671543073958,2.75602713391806,3.42844382531629,0.330161986820274,NA
"XM_030997080.1",11.163033074616,1.80519149496626,3.9777386807677,0.867048952525764,0.83337147879189,NA
"XM_030997081.1",4.82655056080635,0.201676127637854,0.942702390437241,2.65357013645571,0.448175312249568,NA
"XM_030997082.1",3.89800089330846,-0.434821330862657,1.36234937015485,0.39843080834757,0.940566462054155,NA
"XM_030997083.1",5.20755024470649,0.990425382009731,1.43176154158833,1.25401818023047,0.740079769120316,NA
"XM_030997085.1",2.47570485017097,1.14816464689988,1.84804369168969,0.393260232598429,0.941631227168212,NA
"XM_030997087.1",64.722427147829,0.929366714466283,0.514266793649688,5.64995988254282,0.129939458584806,0.55855836104222
"XM_030997088.1",69.6825774478159,-0.560129206325725,0.298000043818722,10.7763077779386,0.0129990513287921,0.160611273236226
"XM_030997089.1",13.4571800508463,-0.489626557978693,0.669671503280121,6.5818352202681,0.0864903973924612,NA
"XM_030997092.1",1.76997234415305,0.917929236393971,1.92416919855953,0.486818876761575,0.92177755625328,NA
"XM_030997097.1",1.34059957883528,1.15507848845496,2.66837654587947,0.452513226579995,0.929193085010928,NA
"XM_030997101.1",7.64906253437064,-0.640081197587065,1.06218017419454,0.58413315155272,0.900054923692809,NA
"XM_030997102.1",3.14485707803804,-0.679173001169291,1.18598433004385,2.28645577403279,0.515120585842948,NA
"XM_030997105.1",5.07255506485466,-0.288119996038213,0.894162090094675,0.345105792963857,0.951333573528297,NA
"XM_030997112.1",284.631077228299,0.271092167227331,0.610389565061286,0.340383838974503,0.952262732076422,0.998523344415705
"XM_030997113.1",163.953854240381,0.687293862848018,2.48997560704329,0.399501978207468,0.940345355272924,0.997613358087133
"XM_030997114.1",2.93170636899574,0.520152820546091,1.52339209621547,2.62780438055653,0.452635917429634,NA
"XM_030997115.1",9.76090423939229,-0.660386005811792,0.66346653544575,3.31817069144559,0.345121619425177,NA
"XM_030997116.1",10.2997286104396,-1.06182256668286,1.52432108847201,0.478333290075568,0.923625047329312,NA
"XM_030997117.1",0.955963074521145,-2.64448763452745,4.48552859213745,1.29923119799233,0.729315644031517,NA
"XM_030997121.1",42.2026252060706,0.312779532527377,0.460500255396612,1.9607024403804,0.580602990448346,0.918002878135325
"XM_030997123.1",0.580245331894057,-0.994214914408257,4.87883295783563,0.177181866511383,0.981186042969439,NA
"XM_030997124.1",6.47614686083071,8.05236792196187,4.78849093522886,2.36469163986553,0.500241102411525,NA
"XM_030997125.1",2.40017905553315,0.422000901237261,1.48750432615422,0.127599075683641,0.988331201278749,NA
"XM_030997136.1",8.18699560038286,-6.3646274927682,4.79533338808154,1.96258851874064,0.580207792982675,NA
"XM_030997138.1",4.9309272392877,-17.4393780370317,4.79094734973545,0.954112290118843,0.812353445292097,NA
"XM_030997141.1",1.29850014094926,1.26260962827684,2.53317550392697,0.404818480302104,0.939245320706651,NA
"XM_030997142.1",0.483798102696289,-1.70495419462368,4.86899519931412,0.296008569855005,0.960777404433614,NA
"XM_030997143.1",121.267823696824,0.495063115792516,1.22665530650237,0.382180325047557,0.943898517143436,0.998523344415705
"XM_030997150.1",1.54073942103291,5.12538993971608,4.820458264627,1.71190098150951,0.634291184369687,NA
"XM_030997158.1",1.32601302288846,-0.18539590223443,2.76887242084359,0.187333035576764,0.979607801741012,NA
"XM_030997161.1",4.81591349131179,2.27604867220048,1.6255310417775,2.19947128789948,0.532052518515404,NA
"XM_030997167.1",8.55423681898451,-0.636377752314129,1.38446543840947,2.58921789020287,0.459382926244751,NA
"XM_030997169.1",1.36017491244856,0.775829969978118,4.30014183675487,0.0129321490610224,0.999610380599409,NA
"XM_030997172.1",1.15325406220128,1.41252774186411,3.28272374807812,0.374247735346948,0.945509394701887,NA
"XM_030997181.1",4.85232505523317,0.196931054033332,0.877577686030693,4.55297577042256,0.207613365225201,NA
"XM_030997185.1",2.28537037901304,-1.86843985620878,2.0294201495947,1.75892368505593,0.623914128533967,NA
"XM_030997192.1",1.88677826393759,0.729992369261471,1.50259619602228,2.547909561667,0.466694937867171,NA
"XM_030997200.1",6.09011800156388,1.15374492218559,1.39432821870472,2.55327522278046,0.465739945846294,NA
"XM_030997203.1",0.605723017865083,-0.783143789783274,4.78142862114536,0.740150677331677,0.863721893306597,NA
"XM_030997204.1",3.03371078929711,1.21453773027899,1.13399690709026,2.16874746793599,0.538130349356099,NA
"XM_030997213.1",1.06500476427604,0.0133482255844095,4.52961741562926,0.460854377816851,0.927403412097788,NA
"XM_030997217.1",5.3692610465045,0.454777617662438,0.850467096121305,1.08481026700348,0.780742153228447,NA
"XM_030997222.1",0.920290835346962,2.82242186739566,2.33449166174021,1.81323262505034,0.61205961064567,NA
"XM_030997227.1",4.39475510923947,-0.88578851647252,1.27728646797947,1.08106856924807,0.781646059575235,NA
"XM_030997230.1",10.6612545778356,1.75613527013284,4.76617123417585,0.183196229659004,0.980255300221861,NA
"XM_030997237.1",1.10207131088247,-0.848153335113529,2.53969964734475,1.90306516421021,0.592767545272458,NA
"XM_030997252.1",4.38536643009882,-0.327931965332794,1.00542049430808,0.306169112458733,0.958864091979143,NA
"XM_030997256.1",2.98745362889138,0.16940482164759,1.49399671887829,2.39193703991231,0.495137305020764,NA
"XM_030997261.1",31.5670375337834,0.430967304443394,0.535114580246962,3.59613628639173,0.308505941789754,0.761583629869816
"XM_030997262.1",11.0454632901803,1.18285346039665,0.825276940465438,2.5876863995996,0.45965237068802,NA
"XM_030997263.1",1.37476024980849,-3.7400359298338,2.06303000831185,3.82399023420798,0.281107968817082,NA
"XM_030997268.1",3.07391186654684,-1.56383275748434,2.18698254171307,4.40231045501757,0.221171249938111,NA
"XM_030997272.1",2.65835058542805,-0.437170895004514,1.40721082362908,0.871277506446212,0.832353084394032,NA
"XM_030997275.1",1.85421057644882,0.398362100088544,1.54835549731117,0.418936915538232,0.936303380298722,NA
"XM_030997281.1",2.41963973277104,-1.99966667251602,3.13856442072096,0.424794945041597,0.935074129861995,NA
"XM_030997295.1",0.984716012949064,1.32139665029739,3.36708657337507,0.442710514658359,0.931284815579839,NA
"XM_030997296.1",0.837296993160569,-1.79478167444456,4.81527819523888,0.59186148083382,0.898292947929344,NA
"XM_030997302.1",0.73090804001452,-2.86755162401275,4.83939653921746,-0.721850936285662,1,NA
"XM_030997308.1",15.7359633596401,-0.779159212439815,0.587040023423549,5.51199872353196,0.13792271960517,0.567534182809874
"XM_030997322.1",3.02229181700577,0.104755293939631,1.3357622716197,0.0979988963009362,0.992076477940599,NA
"XM_030997323.1",1.73544086986533,1.71448083111651,1.37811987531474,2.80324222330184,0.422966467445153,NA
"XM_030997324.1",3.59995890277699,1.65225810297455,1.54960303716383,3.21392513495233,0.359803444536045,NA
"XM_030997325.1",13.6360815815819,-0.5674883712474,0.683168336480964,1.02979117941969,0.794043888940267,NA
"XM_030997329.1",0.47546442544052,-1.85999186467683,4.84848761875288,0.412352231691223,0.937679157460311,NA
