Stage,BeakerID,MatePair,Treatment,PhotoID,SampleID,Height(mm),Width(mm),Stomach_Length(mm),,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0014,14,0.128,0.111,0.098,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0016,16,0.121,0.11,0.098,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0017,17,0.12,0.117,0.073,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0018,18,0.126,0.109,0.107,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0019,19,0.125,0.105,0.094,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0020,20,0.12,0.105,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0020,21,0.13,0.113,0.101,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0022,23,0.119,0.111,0.093,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0023,24,0.125,0.107,0.1,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0024,25,0,0.104,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0025,26,0.114,0.104,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0026,27,0.125,0.11,0.1,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0027,28,0.125,0.117,0.085,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0028,29,0.126,0.111,0.098,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0029,30,0.122,0.107,0.108,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0029,32,0.12,0.114,0.093,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0030,33,0.105,0.112,0.068,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0031,34,0.127,0.122,0.104,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0031,35,0.116,0.116,0.089,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0031,36,0.101,0.111,0.085,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0031,37,0.115,0.112,0.093,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0031,38,0.117,0.11,0.093,,,,,,,,,,,,,,,,
