Stage,BeakerID,MatePair,Treatment,PhotoID,SampleID,Height(mm),Width(mm),Stomach_Length(mm),,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0025,20,0.125,0.132,0.063,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0026,22,0.123,0.127,0.107,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0030,24,0.128,0.126,0.076,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0033,27,0.115,0.122,0.093,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0035,29,0.145,0.126,0.113,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0039,32,0.121,0.13,0.084,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0041,34,0.112,0.134,0.101,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0043,36,0.113,0.133,0.095,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0044,37,0.131,0.125,0.102,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0045,38,0.128,0.125,,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0047,40,0.129,0.123,,I think 39 is upright?,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0049,42,0.136,0.127,0.11,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0051,44,0.122,0.131,,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0053,45,0.132,0.109,,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0054,46,0.124,0.126,,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0056,48,0.134,0.127,0.11,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0057,49,0.123,0.127,0.073,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0058,50,0.14,0.124,0.105,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0059,51,0.137,0.136,0.109,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0064,55,0.125,0.126,0.096,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0065,56,0.146,0.135,,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0066,57,0.132,0.109,,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0067,58,0.133,0.135,,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0068,59,0.134,0.124,,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0069,60,0.14,0.12,,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0070,61,0.138,0.129,,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0074,64,0.134,0.126,0.107,,,,,,,,,,,,,,,,
Gastrula ,A_B5,2,Control,A_gastrula_b5-0074,65,0.138,0.129,0.109,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0003,2,0.119,0.139,0.081,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0004,3,0.127,0.128,0.107,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0005,4,0.112,0.121,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0006,5,0.127,0.124,0.106,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0009,6,0.122,0.136,0.067,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0010,7,0.146,0.137,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0011,8,0.146,0.137,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0027,24,0.11,0.136,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0029,25,0.134,0.133,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0030,26,0.135,0.135,0.064,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0031,27,0.144,0.137,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0036,31,0.113,0.136,0.095,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0036,32,0.132,0.131,0.11,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0038,34,0.139,0.134,0.114,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0040,35,0.134,0.128,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0041,36,0.139,0.139,0.118,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0043,38,0.135,0.139,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0044,39,0.141,0.131,0.081,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0046,42,0.149,0.138,0.083,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0047,43,0.139,0.139,0.115,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0048,44,0.144,0.136,0.109,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0052,48,0.14,0.146,0.108,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0054,51,0.141,0.151,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0058,55,0.138,0.133,0.116,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0060,57,0.145,0.143,0.117,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0061,58,0.137,0.128,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0062,59,0.144,0.129,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0068,64,0.136,0.129,0.102,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0069,65,0.148,0.138,0.105,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0071,67,0.131,0.128,0.107,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0074,70,0.119,0.133,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0074,71,0.129,0.127,0.089,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0076,72,0.141,0.13,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0076,73,0.142,0.136,0.115,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0078,75,0.132,0.13,0.096,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0079,76,0.141,0.134,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0080,77,0.144,0.13,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0082,78,0.125,0.139,0.071,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0083,79,0.138,0.133,0.105,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0084,80,0.131,0.11,,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0087,83,0.137,0.13,0.101,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0089,85,0.147,0.144,0.087,,,,,,,,,,,,,,,,
Gastrula,A_B6,2,100ppb,A_gastrula_b6-0090,86,0.145,0.131,0.095,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0005,4,0.132,0.122,,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0009,8,0.124,0.127,,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0010,9,0.128,0.134,0.089,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0016,16,0.142,0.137,0.11,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0018,18,0.134,0.13,0.086,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0020,20,0.132,0.122,0.105,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0026,26,0.115,0.124,0.1,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0033,36,0.115,0.119,,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0042,45,0.12,0.128,,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0046,48,0.115,0.118,0.098,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0052,53,0.123,0.124,,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0056,57,0.123,0.12,0.083,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0058,59,0.124,,0.092,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0059,60,0.109,0.128,,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0067,67,0.113,0.124,0.083,,,,,,,,,,,,,,,,
Gastrula,A_B7,2,500ppb,A_gastrula_b7-0068,69,,0.128,0.084,wtf?,,,,,,,,,,,,,,,
Gastrula,A_B8,2,1000ppb,A_gastrula_b8-0022,24,0.126,0.13,0.052,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0002,1,0.119,0.107,0.059,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0003,2,0.1,0.105,0.06,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0003,3,0.112,0.112,0.073,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0004,4,0.122,0.118,0.076,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0006,6,0,0,0.08,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0007,7,0.116,0.108,0.058,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0008,8,0.109,0.11,,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0015,12,0.108,0.108,,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0016,13,0.121,,0.056,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0020,17,0.123,0.112,0.07,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0025,21,0.108,0.109,,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0026,22,0.102,0.109,0.052,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0029,24,0.115,0.114,,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0030,25,0.119,0.119,0.084,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0031,26,0.119,0.115,0.086,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0032,27,0.116,0.112,0.089,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0034,29,0.101,0.105,,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0036,31,0.114,0.118,0.076,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0037,32,0.112,0.112,0.08,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0038,33,0.118,0.1,,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0042,34,0.104,0.108,0.068,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0042,35,0.12,0.12,,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0048,40,0.114,0.106,0.061,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0049,41,0.103,0.11,0.065,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0050,42,0.114,0.114,0.069,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0052,44,0.107,0.11,0.071,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0053,45,0.105,0.122,0.065,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0054,46,0.124,0.114,0.088,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0055,47,0.121,0.112,,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0056,48,0.111,0.117,0.069,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0057,49,0.108,0.1,0.056,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0059,50,0.114,0.105,0.092,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0060,51,0.108,0.105,0.086,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0060,52,0.11,0.111,0.052,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0060,53,0.108,0.108,0.052,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0061,54,0.12,0.106,,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0062,55,0.119,0.115,0.074,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0063,56,0.111,0.121,,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0064,57,0.111,0.116,0.076,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0068,60,0.123,0.115,0.071,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0069,61,0.113,0.111,0.059,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0070,62,0.117,0.112,0.078,,,,,,,,,,,,,,,,
Gastrula,B_B9,3,Control,A_gastrula_b9-0071,63,0.113,0.113,0.056,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0002,1,0.121,0.12,0.06,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0005,4,0.122,0.128,0.066,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0007,5,0.118,0.119,0.052,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0008,6,0.119,0.117,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0010,8,0.118,0.123,0.063,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0011,9,0.124,0.111,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0012,10,0.108,0.124,0.09,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0013,11,0.116,0.119,0.058,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0015,13,0.124,0.128,0.072,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0016,14,0.113,0.119,0.067,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0018,15,0.119,0.113,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0020,17,0.119,0.116,0.07,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0022,20,0.122,0.116,0.063,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0023,21,0.12,0.121,0.061,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0025,22,0.117,0.114,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0026,23,0.126,0.125,0.068,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0027,24,0.117,0.12,0.063,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0030,28,0.115,0.117,0.063,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0032,29,0.109,0.122,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0034,31,0.115,0.121,0.054,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0035,32,0.12,0.11,0.07,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0037,35,0.116,0.108,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0042,38,0.111,0.108,0.071,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0043,39,0.128,0.13,0.071,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0044,40,0.119,0.112,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0045,41,0.122,0.123,0.059,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0049,43,0.122,0.117,0.059,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0051,45,0.108,0.115,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0051,46,0.125,0.118,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0052,47,0.115,0.108,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0054,48,0.129,0.114,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0054,49,0.111,0.113,0.062,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0056,51,0.118,0.122,0.074,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0057,53,0.127,0.124,0.06,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0058,54,0.125,0.112,0.067,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0059,55,0.119,0.122,0.06,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0060,56,0.116,0.124,0.072,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0061,57,0.122,0.116,0.058,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0062,58,0.12,0.121,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0063,59,0.118,0.122,0.062,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0064,60,0.124,0.122,0.057,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0065,61,0.123,0.115,0.072,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0070,63,0.115,0.117,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0071,64,0.118,0.12,,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0072,65,0.12,0.12,0.072,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0073,66,0.128,0.119,0.053,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0077,68,0.113,0.114,0.066,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0079,70,0.118,0.112,0.057,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0082,72,0.114,0.118,0.067,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0085,74,0.117,0.125,0.056,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0087,76,0.11,0.107,0.059,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0088,77,0.121,0.111,0.057,,,,,,,,,,,,,,,,
Gastrula,B_B10,3,100ppb,A_gastrula_b10-0089,78,0.117,0.124,0.055,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0003,1,0.112,0.096,0.061,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0004,2,0.115,0.12,0.069,skipped 3,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0011,7,0.105,0.104,0.061,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0015,11,0.124,0.118,0.084,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0016,12,0.12,0.125,0.065,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0024,20,0.121,0.12,0.064,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0025,21,0.105,0.111,,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0028,23,0.124,0.113,0.079,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0030,25,0.109,0.111,,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0033,27,0.111,0.106,0.071,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0036,29,0.099,0.107,,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0042,34,0.112,0.121,0.066,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0044,36,0.117,0.109,0.055,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0046,38,0.12,0.105,0.07,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0048,40,0.113,0.112,0.064,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0052,44,0.096,0.112,,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0053,45,0.113,0.121,,,,,,,,,,,,,,,,,
Gastrula,B_B11,3,500ppb,A_gastrula_b11-0055,47,0.125,0.112,,skipped 48,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0002,1,0.156,0.141,0.123,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0003,2,0.127,0.124,0.085,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0007,5,0.129,0.12,0.1,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0008,6,0.129,0.118,0.112,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0010,8,0.113,0.124,0.061,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0011,9,0.12,0.121,0.061,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0012,10,0.129,0.115,,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0015,11,0.12,0.122,0.09,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0019,12,0.128,0.121,,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0020,13,0.115,0.109,0.1,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0021,14,0.119,0.125,0.1,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0021,15,0.118,0.119,0.081,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0023,17,0.12,0.117,0.07,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0024,18,0.118,0.117,0.087,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0026,20,0.115,0.112,,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0027,21,0.12,0.118,0.064,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0028,22,0.124,0.126,0.081,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0029,23,0.123,0.108,0.104,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0031,24,0.107,0.109,0.052,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0032,25,0.123,0.109,,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0033,26,0.109,0.106,0.062,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0034,27,0.122,0.117,0.075,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0035,28,0.115,0.121,0.067,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0036,29,0.127,0.118,0.089,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0037,30,0.112,0.111,0.082,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0038,31,0.121,0.121,0.086,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0039,32,0.122,0.122,0.083,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0040,33,0.124,0.121,0.056,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0042,35,0.115,0.121,0.057,,,,,,,,,,,,,,,,
Gastrula,B_B12,3,1000ppb,A_gastrula_b12-0045,36,0.113,0.118,0.093,,,,,,,,,,,,,,,,
